frame,x,y,heading_deg,matches,vo_status
498,-0.635,0.117,-1807.74,112,ok
499,-0.685,0.117,-1805.04,16,ok
500,-0.663,0.163,-1800.78,72,ok
501,-0.651,0.211,-1799.55,292,ok
502,-0.607,0.234,-1799.55,232,ok
503,-0.571,0.27,-1799.55,237,ok
504,-0.528,0.295,-1799.55,415,ok
505,-0.493,0.331,-1916.11,545,ok
506,-0.524,0.291,-1916.11,520,ok
507,-0.493,0.331,-1916.11,540,ok
508,-0.509,0.378,-1916.11,564,ok
509,-0.46,0.369,-1916.11,549,ok
510,-0.476,0.417,-1916.11,546,ok
511,-0.506,0.457,-2049.81,523,ok
512,-0.46,0.436,-2049.81,546,ok
513,-0.509,0.425,-2049.81,561,ok
514,-0.532,0.469,-2049.81,513,ok
515,-0.577,0.49,-2049.81,548,ok
516,-0.566,0.442,-2049.81,524,ok
517,-0.55,0.489,-1969.31,595,ok
518,-0.599,0.491,-1969.33,542,ok
519,-0.649,0.493,-1969.42,419,ok
520,-0.699,0.49,-1969.42,473,ok
521,-0.729,0.45,-1969.42,582,ok
522,-0.679,0.447,-1969.51,376,ok
523,-0.729,0.446,-1969.59,326,ok
524,-0.69,0.414,-1969.59,457,ok
525,-0.642,0.401,-1969.64,221,ok
526,-0.638,0.45,-1970.35,164,ok
527,-0.588,0.446,-1970.32,134,ok
528,-0.539,0.435,-1970.32,119,ok
529,-0.589,0.433,-1970.32,66,ok
530,-0.539,0.431,-1970.32,57,ok
531,-0.589,0.43,-1970.32,51,ok
532,-0.54,0.422,-1970.33,50,ok
533,-0.531,0.373,-2150.33,44,ok
534,-0.517,0.325,-2150.75,47,ok
535,-0.566,0.334,-2150.82,36,ok
536,-0.517,0.326,-2150.86,29,ok
537,-0.468,0.314,-2150.92,33,ok
538,-0.419,0.306,-2150.94,24,ok
539,-0.468,0.317,-2150.94,22,ok
540,-0.517,0.326,-2151.0,21,ok
541,-0.468,0.317,-2151.15,17,ok
542,-0.419,0.308,-2151.15,24,ok
543,-0.369,0.299,-2151.27,15,ok
544,-0.321,0.288,-2151.27,15,ok
545,-0.321,0.288,-2151.27,10,low_texture_hold_pose
546,-0.327,0.238,-2305.92,17,ok
547,-0.298,0.197,-2303.06,18,ok
548,-0.25,0.211,-2302.77,19,ok
549,-0.298,0.199,-2302.8,34,ok
550,-0.249,0.207,-2302.63,40,ok
551,-0.202,0.19,-2301.85,49,ok
552,-0.25,0.202,-2302.0,53,ok
553,-0.227,0.158,-2460.28,89,ok
554,-0.25,0.113,-2460.3,124,ok
555,-0.216,0.149,-2460.3,319,ok
