frame,label,confidence,distance_m,direction,placeholder
280,fire_placeholder,0.05,16.67,front-right,True
281,backpack,0.564,5.72,front,False
281,person,0.373,3.16,front-right,False
281,fire_placeholder,0.05,7.45,front-left,True
281,fire_placeholder,0.05,4.14,front,True
281,fire_placeholder,0.05,14.58,front-left,True
281,fire_placeholder,0.05,6.14,front-right,True
281,fire_placeholder,0.05,26.92,front-left,True
281,fire_placeholder,0.05,8.86,front-left,True
281,fire_placeholder,0.05,24.14,front-left,True
281,fire_placeholder,0.05,16.67,front-right,True
281,fire_placeholder,0.05,19.44,front-right,True
282,fire_placeholder,0.05,12.5,front-right,True
282,fire_placeholder,0.05,12.07,front-left,True
282,fire_placeholder,0.05,11.11,front-right,True
282,fire_placeholder,0.05,5.88,front,True
282,fire_placeholder,0.05,8.14,front-right,True
282,fire_placeholder,0.05,14.58,front,True
282,fire_placeholder,0.05,30.43,front,True
282,fire_placeholder,0.05,10.0,front-left,True
282,fire_placeholder,0.05,25.0,front-left,True
282,fire_placeholder,0.05,16.67,front-right,True
283,backpack,0.424,5.64,front,False
283,fire_placeholder,0.05,17.07,front-right,True
283,fire_placeholder,0.05,13.46,front-left,True
283,fire_placeholder,0.05,5.6,front,True
283,fire_placeholder,0.05,14.89,front,True
283,fire_placeholder,0.05,8.97,front-right,True
283,fire_placeholder,0.05,30.43,front,True
283,fire_placeholder,0.05,8.86,front-left,True
283,fire_placeholder,0.05,25.93,front-left,True
283,fire_placeholder,0.05,18.42,front-right,True
284,backpack,0.544,5.29,front,False
284,fire_placeholder,0.05,11.67,front-left,True
284,fire_placeholder,0.05,4.49,front,True
284,fire_placeholder,0.05,15.56,front,True
284,fire_placeholder,0.05,7.22,front-right,True
284,fire_placeholder,0.05,8.86,front-left,True
284,fire_placeholder,0.05,28.0,front-left,True
284,fire_placeholder,0.05,17.5,front-right,True
285,person,0.501,8.0,front,False
285,fire_placeholder,0.05,14.0,front-left,True
285,fire_placeholder,0.05,16.28,front-right,True
285,fire_placeholder,0.05,4.76,front,True
285,fire_placeholder,0.05,14.89,front,True
285,fire_placeholder,0.05,7.22,front-right,True
285,fire_placeholder,0.05,31.82,front,True
285,fire_placeholder,0.05,8.75,front-left,True
285,fire_placeholder,0.05,25.0,front-left,True
285,fire_placeholder,0.05,17.5,front-right,True
286,person,0.632,7.91,front,False
286,fire_placeholder,0.05,14.58,front-left,True
286,fire_placeholder,0.05,7.07,front-left,True
